BANKNAME,IFSC,MICR_CODE,BRANCH,ADDRESS,CONTACT1,CENTRE,DISTRICT,STATE
"NORTH MALABAR GRAMIN BANK",NMGB0000208,,ELANJI,"POONTHOTTAM BUILDINGS, ELANJI P.O,MUVATTUPUZHA, ERNAKULAM PIN 686 665",0485-2257322,ELANJI,ERNAKULAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000209,,PATTAZHI,"K.R.M BUILDINGS, PATTAZHI P.O, PATHANAPURAM, KOLLAM PIN 691 522",0475-2398788,PATTAZHI,KOLLAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000210,,PAIKA,"KOCHUPARAMBIL BUILDINGS, PAIKA, POOVARANI P.O, MEENACHIL, KOTTAYAM PIN 686 577",0482-2225080,POOVARANI,KOTTAYAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000211,,ADIVAD,"NORTH MALABAR GRAMIN BANK, MADINA TOWER, ADIVAD, POST PALLARIMANGALAM, PIN 686 671",0485-2563555,KOTHAMANGALAM,ERNAKULAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000212,,PALLURUTHY,"NORTH MALABAR GRAMIN BANK, VT CHAMBER BUILDING, NEAR POLICE STATION, PALLURUTHY NADA, PALLURUTHY POST, PIN-682006 ERNAKULAM DIST KERALA 0484-2236088",0484-2236088,KOCHI,ERNAKULAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000213,,"ERNAKULAM SERVICE BRANCH","NORTH MALABAR GRAMIN BANK, KALOOR, I FLOOR, MATHEWSONS TRADE CENTRE, NEAR TVS SHOW ROOM, KOCHI - 682 017, KERALA, PH: 0484 - 2539192",,KALOOR,ERNAKULAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000214,,VAKATHANAM,"NORTH MALABAR GRAMIN BANK, ONATT TRADE CENTRE, NJALIAKUZHI JUNCTION, VAKATHANAM PO, KOTTAYAM DIST, KERALA -686538",9400069214,VAKATHANAM,KOTTAYAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000704,,CHERUKUNNU,"NORTH MALABAR GRAMIN BANK,CHERUKUNNU,NEAR CANOSSIAN  CONVENT,P.O.CHERUKUNNU - 670 301,VIA) KANNAPURAM,KANNUR DIST., KERALA",0497-2862862,CHERUKUNNU,CANNUR,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000215,,KANNANALLOOR,"NORTH MALABAR GRAMIN BANK, LEBBAS TOWER, KANNANALLOOR P O, KOLLAM 671576",,MUKATHALA,KOLLAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000216,,KUNNIKODE,"NORTH MALABAR GRAMIN BANK,MEMORIAL BUILDING , KUNNIKODE JUNCTION, KOLLAM -691508",,KUNNIKODE,KOLLAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000217,,BADIADKA,"SREE GURUVAYOORAPPAN SHOPPING COMPLEX, BADIADKA,  P.O PERDALA, KASARAGOD DISTRICT- 671551 PH:04998-284217",,BADIADKA,KASARAGOD,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000218,686460306,KADANAD,"NORTH MALABAR GRAMIN BANK KADANAD BRANCH, PEEDIKAMALAYIL BUILDINGS, KADANAD P.O. 686653, KOTTAYAM DISTRICT",9400069218,KOLLAPPALLY,KOTTAYAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000219,682460014,PUTHENVELIKARA,"NORTH MALABAR GRAMIN BANK ,PUTHENVELIKARA BRANCH, 1598 NO:NSS KARAYOGAM BUILDING, PUTHENVELIKARA P.O-683594, ERNAKULAM DISTRICT",9400069219,PUTHENVELIKKARA,ERNAKULAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000220,691460105,PUTHOOR,"NORTH MALABAR GRAMIN BANK, PUTHOOR BRANCH, VALIYAKAMPIYIL PLAZA, BSNL JUNCTION, PUTHOOR P.O -691507",9400069220,PUTHOOR,KOLLAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000221,691460106,KADAKKAL,"NORTH MALABAR GRAMIN BANK, KADAKKAL BRANCH, PULIMATH BUILDINGS, KADAKKAL P.O -691536, KOLLAM DISTRICT",9400069221,KADAKKAL,KOLLAM,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000222,691460006,ANCHALUMMOODU,"NORTH MALABAR GRAMIN BANK, ANCHALUMMOODU BRANCH, MOTHAKADA BUILDING, VETTUVILA ROAD, PERINAD P.O. -691601, KOLLAM DISTRICT",9400069222,PERINAD,KOLLAM,KERALA
