"BANK ","IFSC CODE","MICR CODE","BRANCH NAME",ADDRESS,CONTACT,CITY,DISTRICT,STATE
"GURGAON GRAMIN BANK",GGBK0001248,110025278,GANAUR,"VILL & P.O GANNAUR ,NEAR BDPO OFFICE, TEHSIL GANNAUR,DISTRICT SONEPAT,STATE-HARYANA,PIN-131101",0130-2460332,GANAUR,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001249,,GOHANA,"VPO:GOHANA, TEHSIL ROAD, MAIN BAZAR",01263-256113,GOHANA,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001250,110025270,FARRUKHNAGAR,"VPO:FARUKH NAGAR, WARD NO.7, PATAUDI ROAD, NEAR BUS STAND, FARUKH NAGAR,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-122506.",0124-2275156,FARRUKHNAGAR,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001251,,"FIROZE PUR JHIRKA","VPO:FIROJPUR JHIRKA, NEAR POLICE STATION",01268-278813,FEROJEPUR,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001252,,KHARKHODA,"VPO;KHARKHODA, WARD NO.5, ROHTAK ROAD"," 0130-2584700",KHARKHODA,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001253,,BAGHPUR,"VPO:BAGPUR, MAIN BUS STAND,DISTRICT-PALWA,STATE-HARYANA.PINCODE-121002.",01275-207324,FARIDABAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001254,,REWARI,"VPO:KARNAWAS,DISTRICT-REWARI.STATE-HARYANA,PINCODE-123401.",9354831254,REWARI,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001255,,PATLI,"VPO:PATLI,FARUKH NAGAR,DISTRICT-GURGAON,STATE-HARYANA.PINCODE-122506.",0124-2015929,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001256,,NUH,"VPO:NUH,DISTRICT-MEWAT,STATE-HARYANA,PINCODE-122107.",01267-274725,NUH,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001257,,BICHPURI,VPO:BICHPARI,01263-286222,SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001258,,"KHANPUR KALAN","VPO:KHANPUR KALAN, NEAR UNIVERSITY GATE",01263-283015,"KHANPUR KALAN",SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001259,110025272,MANESAR,"VPO:MANESAR, MANESAR KHOH ROAD,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-122050.",9310371259,MANESAR,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001260,110025267,SONIPAT,"GURDWARA ROAD, NEAR S.D. SCHOOL,DIST-SONEPAT,STATE-HARYANA,PINCODE-131001.",9315531260,SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001261,,MUNDIA-KHERA,"AT-MUNDIA KHERA,NEAR, KANINA, KANINA-ATELI ROAD 8KM FROM KANINA",9354551261,MAHENDRAGARH,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001262,,ATERNA,"AT-ATERNA,NEAR, KUNDALI, DISTT. SONEPAT, HARYANA",0130-2315266,SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001263,110025276,TIKRI,"SOUTH CITY-II, B-BLOCK,AT-TIKRI, POST OFFICE:FAZILPUR,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-122002.",9810162805,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001264,,NAHAR,"VPO:NAHAR,DISTRICT-REWARI.STATE-HARYANA,PINCODE-123303.",01259-271683,NAHAR,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001265,,ATALI,"V PO - ATALI,DISTRICT-FARIDABAD,STATE-HARYANA.PINCODE-121004.",0129-2207350,FARIDABAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001266,,NAHARI,"VPO:NAHARI,DISTRICT-REWARI.STATE-HARYANA,PINCODE-131103.",0130-2573831,SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001267,,JUAN,"VPO:JUAN,,DISTRICT-SONEPAT.STATE-HARYANA,PINCODE-131024.",0130-2530303,SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001268,110025277,"SECTOR-44 GURGAON","PLOT NO.36 P, PRAGATI BHAWAN, POST OFFICE, SECTOR-44,DIST-GURGAON,STATE-HARYANA,PINCODE-122002.",9310011268,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001269,110025279,"PATAUDI ROAD GURGAON","CRS COMPLEX, 55/3/23, NEAR TIKONA PARK,
LAXMI GARDEN, PATAUDI ROAD,GURGAON,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-122001.
",0124-2220647,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001270,110025280,MURTHAL,"VPO:MURTHAL,DISTRICT-SONEPAT.STATE-HARYANA,PINCODE-131027.",0130-2482354,MURTHAL,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001271,110025282,SHIKOHPUR,VPO:SHIKOHPUR,9717261992,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001272,,MAHRA,VPO:MAHRA,01263-289150,SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001273,,"MODEL TOWN, REWARI","126 L-II, NEAR PUBLIC HEALTH OFFICE REWARI,DISTRICT-REWARI.STATE-HARYANA,PINCODE-123401.",9728161698,REWARI,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001274,110025281,"DABUA COLONY","C/50, AIR FORCE ROAD, NIT FARIDABAD",9871547117,FARIDABAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001275,110025286,BAJGHERA,"VPO: BAJGHERA,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-123504.",9899968809,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001276,110025283,DUNDAHERA,"VPO: DUNDAHERA,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-122016.",9868834823,DUNDAHAIRA,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001277,110025284,"RAJENDRA PARK","MAIN BAJGHERA ROAD, NEAR PARVESH GARDEN BLOCK,GURGAON,DISTRICT-GURGAON,STATE-HARYANA,PINCODE-122001."," 09311991277",GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001278,,PUGHTHALA,"VPO: PUGHTHALA,DISTRICT-SONEPAT,.STATE-HARYANA,PINCODE-131102."," 09991506619",SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001279,,BAWAL,"VILL. BAWAL, DISTT. REWARI (REWARI-BAWAL ROAD)",01284-260202,BAWAL,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001280,,BAWANIA,"AT-BAWANIA,NEAR, KANINA, KANINA-MAHENDERGARH ROAD, 8KM FROM KANINA",9991570049,BAWANA,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001281,110025280,BHANGROLA,"AT BHANGROLA,NEAR, GARHI HARSARU, GURGAON PATAUDI ROAD, 8KM FROM GURGAON",9311121633,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001282,,BADWASANI,"VILL BADWASANI,DISTRICT-SONEPAT,STATE-HARYANA-130001.",9355099101,SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001283,,"NANGAL SAROHI","KHERKI MORE, VILL.NANGAL SAROHI,DISTRICT-MAHENDERGARH,STATE-HARYANA-124001.",9354451301,MAHENDRAGARH,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001284,,SEKA,"VILL SEKA,PO-MADHANA,DISTRICT-MAHENDERGARH,STATE-HARYANA-124001.",9354451301,MAHENDRAGARH,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001285,,SEHJADPUR,"GURGAON GRAMIN BANK SEHJADPUR, P.O. SANDAL KALAN, TEHSIL & DIST. SONEPAT,STATE-HARYANA.PINCODE-130001",9355099102,SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001286,110025287,HAYATPUR,"VILL HAYATPUR PO GARHI HARSARU,DISTRICT-GURGAON,STATE-HARYANA-122001.",9310370901,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001287,,SEHATPUR,"PALLA SEHAT PUR ROAD, VILLAGE:SEHATPUR POST OFFICE:TILPAT, DISTRICT FARIDABAD",9355982101,FARIDABAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001288,,LAKARPUR,"VILL. LAKARPUR,DISTRICT-FARIDABAD,STATE-HARYANA-121003.",9355982101,FARIDABAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001289,,PINANA,"GURGAON GRAMIN BANK PINANA, VPO PINANA, GOHANA-SONEPAT ROAD, TEHSIL & DIST. SONEPAT,STATE-HARYANA.PINCODE-130001",9355099101,SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001290,,KHORI,"GURGAON GRAMIN BANK KHORI, VPO KHORI, TEHSIL & P. O KHORI, TEHSIL & DIST. REWARI,,STATE-HARYANA.PINCODE-123101",9355799201,KHORI,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001291,,SAHARANWAS,"VPO SAHARANWAS, DISTRICT REWARI, HARYANA",9416743948,KHORI,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001292,,SATNALI,"VPO SATNALI,",01285-231021,SATNALI,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001293,,SEWALI,"VPO SEWALI",9813034636,SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001294,,"LULA AHIR","GURGAON GRAMIN BANK LULA AHIR, VPO LULA AHIR, TEHSIL KOSLI, DIST. REWARI,STATE-HARYANA.PINCODE-123302",9355799201,REWARI,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001295,,SHAMRI,VPO:SHAMRI,9416779902,SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001296,,DHANANA,VPO:DHANANA,9728984868,SONIPAT,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001297,,KATHURA,VPO:KATHURA,9991591230,KATHURA,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001298,,SARMATHALA,VPO:SARMATHLA,9812858679,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001299,,DAULAH,VPO:DAULAH,9992778448,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001300,,JAURASI,VPO:JAURASI,9416318929,FARIDABAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001301,,KHUSALIPR,"VPO:KUSHLIPUR, PALWAL HASANPUR ROAD",9416633184,FARIDABAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001302,,"SECTOR-23 FARIDABAD","22 FOOT ROAD, SANJAY COLONY, SECTOR-23 A, NIT-FARIDABAD",9810901580,FARIDABAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001303,,"SGM NAGAR FARIDABAD","SGM NAGAR, A-335, BADKHAL ROAD",9810347532,FARIDABAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001304,,RASULPUR,"VPO:RASULPUR, PALWAL HASANPUR ROAD",9992224767,FARIDABAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001305,,"MIRPUR KURALI","VILLAGE:MIRPUR KAURALI, PO:GULAWAD",9896656768,FARIDABAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001306,,SEEKRI,VPO-SIKRI,9818033423,SEEKRI,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001307,,LOKRA,VPO:LOKRA,9671601327,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001308,,MAUJABAD,"VILLAGE:MAUJABAD, PO:JAITPUR",9315887419,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001309,,SUDAKA,"VPO SUDAKA",9812673669,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001310,,SALAMBA,"VPO SALAMBA",9996292578,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001311,,AKERA,"VPO AKEDA",9992832840,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001312,,MEWLI,"VPO MEWLI",991119305,"MEWLA MAHARAJPUR",FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001313,,DOHA,"VPO DOHA",9991326069,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001314,,NAI,"POST PUNHANA",9416511884,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001315,,SAHSOLA,"VPO SAHSOLA",8930458492,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001330,,BAGHTHALA,"VILLAGE , POST OFFICE - BAGHTHALA, BLOCK, TAHSIL - BAWAL, DISTRICT - REWARI, PIN - 123501, HARYANA",,BAWAL,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001336,,"KHATOTI SULTANPUR","VILLAGE KHATOTI SULTANPUR, POST HAMIDPUR, TAHSIL NARNAUL, PIN 123001",01282-204399,MAHENDRAGARH,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001316,123842029,LILOTH,"GURGAON GRAMIN BANK, LILOD, PIN 123303",,JHOLARI,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001317,123842068,"NASIBPUR ","GURGAON GRAMIN BANK, NASIBPUR, MAHENDERGARH ROAD, BARKODA, PIN 123001",,NARNAUL,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001318,,"NOORGARH CHOWK ","GURGAON GRAMIN BANK, NOORGARH CHOWK, HAILY MANDI, PALHAWAS ROAD, NOORGARH, PIN 123504",,PATAUDI,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001319,,BIRHERA,"VILLAGE BIRHERA, PO KAROLA, TEHSIL FARUKHNAGAR, PINCODE 123504",,FARRUKHNAGAR,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001320,123842113,BASSAI,"VILLAGE AND POST BASSAI, BLOCK, TEHSIL AND DISTRICT - MAHENDERGARH, PINCODE 123029",9416818439,MAHENDRAGARH,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001321,123842114,"PALI (M)","VILLAGEM, POST OFFICE - PALI, BLOCK, TEHSIL AND DISTRICT - MAHENDERGARH, PINCODE 123029",9416382154,MAHENDRAGARH,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001322,123842069,"HASSANPUR CHOWK, KORIAWAS","VILLAGE, POST OFFICE - KORIAWAS, BLOCK, TEHSIL - NARNAUL, DISTRICT - MAHENDERGARH, PIN - 123001",9466063334,NARNAUL,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001323,,NIMOT,"VILLAGE - NIMOT, POST OFFICE - LALA KHERLI, BLOCK AND TEHSIL - SOHNA, DISTRICT - GURGAON, PIN CODE - 122103",,SOHNA,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001324,,"GWAL PAHARI","VILLAGE AND PO - GWAL PAHARI, BLOCK, TEHSIL AND DISTRICT - GURGAON, PIN CODE 122003",,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001325,1100252420,"DLF PHASE IV","VILLAGE AND POST OFFICE CHAKARPUR, NEAR SIDDHI VINAYAK MANDIR, BLOCK TAHSIL AND DISTRICT GURGAON, PIN 122002, HARYANA",9466063334,GURGAON,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001326,,KHOR,"VILLAGE, POST OFFICE - KHOR, BLOCK, TAHSIL - PATAUDI, DISTRICT - GURGAON, PIN 123414, HARYANA",,PATAUDI,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001327,110025419,"BHARAT COLONY","SECTOR-16 A, SHOP NO 5,6 KHERI ROAD FARIDABAD, PIN 121002, HARYANA",9416818439,FARIDABAD,FARIDABAD,HARYANA
"GURGAON GRAMIN BANK",GGBK0001328,123842032,"HASSANPUR TAURU","VILLAGE, POST OFFICE - HASSANPUR TAURU, DISTRICT - MEWAT, PIN - 122105, HARYANA",,TAURU,GURGAON,HARYANA
"GURGAON GRAMIN BANK",GGBK0001329,123842030,AKERA,"VILLAGE, POST OFFICE - AKERA, BLOCK - REWARI, TEHSIL - DHARUHERA, DISTRICT - REWARI, PIN - 123106, HARYANA",,REWARI,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001331,123842115,"DHANONDA (KANINA)","VILLAGE, POST OFFICE - DHANONDA, BLOCK, TAHSIL - KANINA, DISTRICT - MAHENDERGARH, PIN - 123027, HARYANA",,DHANODA,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001332,123842116,JHAGROLI,"VILLAGE, POST OFFICE - JHAGROLI, BLOCK, TAHSIL - KANINA, DISTRICT - MAHENDERGARH, PIN - 123034, HARYANA",,KANINA,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001333,,KAILANA,"VILLAGEM, POST OFFICE - KAILANA, BLOCK & TAHSIL GANNAUR, DISTRICT SONIPAT, PIN 131102, HARYANA",9416382154,GANAUR,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001334,,SILANA,"VILLAGE, POST OFFICE - SILANA, BLOCK & TAHSIL - KHARKHODA, DISTRICT SONIPAT, PIN 131408, HARYANA",9466063334,KHARKHODA,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001335,,"NUREN KHERA","VILLAGEM, POST OFFICE - NUREN KHERA, BLOCK MUNDLANA, TAHSIL GOHANA, DISTRICT SONIPAT, PIN 131302, HARYANA",9416382154,MUNDLANA,SONIPAT,HARYANA
"GURGAON GRAMIN BANK",GGBK0001337,"NEW MANDI, NARNAUL",,"BLOCK TAHSIL NARNAUL, DISTRICT MAHENDERGARH, PIN 123001, HARYANA",1282255189,MAHENDRAGARH,MAHENDRAGARH,HARYANA
"GURGAON GRAMIN BANK",GGBK0001338,"BASS DOODHA",,"VILLAGE POST BASS DOODHA,BLOCK TAHSIL REWARI, DISTRICT REWARI, PIN 123102, HARYANA ",1274253227,REWARI,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001339,GOKALGARH,,"VILAGE POST GOKALGARH, BLOCK TAHSIL REWARI, DISTRICT REWARI, HARYANA, PIN 123401",1274253227,REWARI,REWARI,HARYANA
"GURGAON GRAMIN BANK",GGBK0001340,MANPUR,,"VILLAGE POST MANPUR, BLOCK TAHSIL HATHIN, DISTRICT PALWAL, PIN 121105, HARYANA",1275252832,PALWAL,PALWAL,HARYANA
"GURGAON GRAMIN BANK",GGBK0001341,DATAULI,,"VILLAGE POST DATAULI, BLOCK TEHSIL GANNAUR, DISTRICT SONEPAT, PIN 131101, HARYANA",1302200517,SONIPAT,SONIPAT,HARYANA
